date,total_screen_page_views
2026-03-27,1503
2026-03-28,2024
2026-03-29,3020
2026-03-30,3516
2026-03-31,3451
2026-04-01,3100
2026-04-02,3400
2026-04-03,2995
2026-04-04,3408
2026-04-05,3321
2026-04-06,2785
2026-04-07,3330
2026-04-08,2494
2026-04-09,2916
2026-04-10,2534
2026-04-11,2855
2026-04-12,2838
2026-04-13,2945
2026-04-14,2700
2026-04-15,4797
2026-04-16,4521
2026-04-17,3493
2026-04-18,4640
2026-04-19,6156
2026-04-20,4328
2026-04-21,4292
2026-04-22,3085
2026-04-23,3222
2026-04-24,3010
2026-04-25,3380
2026-04-26,4507
